Movement in iteration: 25125, new cost: 8611518
Movement in iteration: 25126, new cost: 8610239
Movement in iteration: 25224, new cost: 8610236
Movement in iteration: 25243, new cost: 8609631
Movement in iteration: 25340, new cost: 8609373
Movement in iteration: 25352, new cost: 8609012
Movement in iteration: 25359, new cost: 8608236
Movement in iteration: 25447, new cost: 8607790
Movement in iteration: 25456, new cost: 8606481
Movement in iteration: 25591, new cost: 8605943
Movement in iteration: 25595, new cost: 8604941
Movement in iteration: 25679, new cost: 8603564
Movement in iteration: 25726, new cost: 8602074
Movement in iteration: 26716, new cost: 8599988
Movement in iteration: 26826, new cost: 8599842
Movement in iteration: 26853, new cost: 8599686
Movement in iteration: 26970, new cost: 8599608
Movement in iteration: 27058, new cost: 8597771
Movement in iteration: 27145, new cost: 8597316
Movement in iteration: 27151, new cost: 8596567
Movement in iteration: 27383, new cost: 8596279
Movement in iteration: 27476, new cost: 8595133
Movement in iteration: 27599, new cost: 8594571
Movement in iteration: 27706, new cost: 8594392
Movement in iteration: 27720, new cost: 8594322
Movement in iteration: 27785, new cost: 8594148
Movement in iteration: 27909, new cost: 8593407
Movement in iteration: 28017, new cost: 8592885
Movement in iteration: 28138, new cost: 8592121
Movement in iteration: 28222, new cost: 8590021
Movement in iteration: 28435, new cost: 8588913
Movement in iteration: 28437, new cost: 8588239
Movement in iteration: 28448, new cost: 8586594
Movement in iteration: 28461, new cost: 8586459
Movement in iteration: 28673, new cost: 8585963
Movement in iteration: 28674, new cost: 8585396
Movement in iteration: 28872, new cost: 8584061
Movement in iteration: 28885, new cost: 8582434
Movement in iteration: 28989, new cost: 8582326
Movement in iteration: 29016, new cost: 8580460
Movement in iteration: 29095, new cost: 8580346
Movement in iteration: 29510, new cost: 8580141
Movement in iteration: 29699, new cost: 8579511
Movement in iteration: 29800, new cost: 8579085
Movement in iteration: 29816, new cost: 8578080
Movement in iteration: 29828, new cost: 8577128
Movement in iteration: 29900, new cost: 8576556
Movement in iteration: 29914, new cost: 8576020
Movement in iteration: 29916, new cost: 8574742
Movement in iteration: 30016, new cost: 8574203
Movement in iteration: 30302, new cost: 8573864
Movement in iteration: 30328, new cost: 8573560
Movement in iteration: 30413, new cost: 8573529
Movement in iteration: 30414, new cost: 8573267
Movement in iteration: 30426, new cost: 8571016
Movement in iteration: 30580, new cost: 8570100
Movement in iteration: 30598, new cost: 8569833
Movement in iteration: 30611, new cost: 8569407
Movement in iteration: 30722, new cost: 8568291
Movement in iteration: 31190, new cost: 8568073
Movement in iteration: 31637, new cost: 8567159
Movement in iteration: 31737, new cost: 8566940
Movement in iteration: 31905, new cost: 8566451
Movement in iteration: 32255, new cost: 8566248
Movement in iteration: 32426, new cost: 8565335
Movement in iteration: 32511, new cost: 8564901
Movement in iteration: 32691, new cost: 8563791
Movement in iteration: 32929, new cost: 8563623
Movement in iteration: 33482, new cost: 8563469
Movement in iteration: 33923, new cost: 8563074
Movement in iteration: 33997, new cost: 8562654
Movement in iteration: 34347, new cost: 8561242
Movement in iteration: 34404, new cost: 8561087
Movement in iteration: 34479, new cost: 8560439
Movement in iteration: 34506, new cost: 8559523
Movement in iteration: 34609, new cost: 8559410
Movement in iteration: 34666, new cost: 8558800
Movement in iteration: 34685, new cost: 8558004
Movement in iteration: 34981, new cost: 8557282
Movement in iteration: 35157, new cost: 8556871
Movement in iteration: 35217, new cost: 8556249
Movement in iteration: 35337, new cost: 8556107
